Date,Daily Total Streams
2021-05-19,0
2021-05-20,0
2021-05-21,0
2021-05-22,0
2021-05-23,0
2021-05-24,0
2021-05-25,0
2021-05-26,0
2021-05-27,0
2021-05-28,0
2021-05-29,0
2021-05-30,0
2021-05-31,0
2021-06-01,0
2021-06-02,0
2021-06-03,0
2021-06-04,0
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,0
2021-06-11,0
2021-06-12,0
2021-06-13,0
2021-06-14,0
2021-06-15,0
2021-06-16,0
2021-06-17,0
2021-06-18,0
2021-06-19,0
2021-06-20,0
2021-06-21,0
2021-06-22,141
2021-06-23,325
2021-06-24,541
2021-06-25,1055
2021-06-26,685
2021-06-27,405
2021-06-28,365
2021-06-29,289
2021-06-30,268
2021-07-01,246
2021-07-02,491
2021-07-03,292
2021-07-04,417
2021-07-05,396
2021-07-06,662
2021-07-07,389
2021-07-08,356
2021-07-09,245
2021-07-10,233
2021-07-11,268
2021-07-12,1164
2021-07-13,970
2021-07-14,972
2021-07-15,852
2021-07-16,1222
2021-07-17,1029
2021-07-18,519
2021-07-19,631
2021-07-20,902
2021-07-21,1150
2021-07-22,1142
2021-07-23,915
2021-07-24,672
2021-07-25,589
2021-07-26,478
2021-07-27,704
2021-07-28,4515
2021-07-29,7493
2021-07-30,3706
2021-07-31,2690
2021-08-01,2075
2021-08-02,1524
2021-08-03,1456
2021-08-04,1453
2021-08-05,1551
2021-08-06,1084
2021-08-07,1001
2021-08-08,1014
2021-08-09,975
2021-08-10,892
2021-08-11,807
2021-08-12,836
2021-08-13,784
2021-08-14,921
2021-08-15,861
2021-08-16,691
2021-08-17,773
2021-08-18,854
2021-08-19,828
2021-08-20,785
2021-08-21,1036
2021-08-22,9724
2021-08-23,6879
2021-08-24,3559
2021-08-25,3513
2021-08-26,3146
2021-08-27,3453
2021-08-28,2496
2021-08-29,2170
2021-08-30,3663
2021-08-31,2722
2021-09-01,2197
2021-09-02,1877
2021-09-03,1699
2021-09-04,1788
2021-09-05,2838
2021-09-06,2215
2021-09-07,1703
2021-09-08,1764
2021-09-09,2285
2021-09-10,1635
2021-09-11,1579
2021-09-12,1660
2021-09-13,1620
2021-09-14,1700
2021-09-15,1682
2021-09-16,2292
2021-09-17,2585
2021-09-18,1734
2021-09-19,1976
2021-09-20,1322
2021-09-21,1470
2021-09-22,1322
2021-09-23,1118
2021-09-24,1231
2021-09-25,1410
2021-09-26,1169
2021-09-27,1252
2021-09-28,955
2021-09-29,1340
2021-09-30,1179
2021-10-01,1336
2021-10-02,1355
2021-10-03,1385
2021-10-04,1491
2021-10-05,1282
2021-10-06,1209
2021-10-07,1208
2021-10-08,1084
2021-10-09,1004
2021-10-10,954
2021-10-11,899
2021-10-12,896
2021-10-13,968
2021-10-14,1109
2021-10-15,1119
2021-10-16,992
2021-10-17,964
2021-10-18,1095
2021-10-19,935
2021-10-20,1103
2021-10-21,1501
2021-10-22,1780
2021-10-23,1757
2021-10-24,1735
2021-10-25,2269
2021-10-26,2132
2021-10-27,1821
2021-10-28,1617
2021-10-29,2154
2021-10-30,2121
2021-10-31,2472
2021-11-01,1860
2021-11-02,1408
2021-11-03,1838
2021-11-04,1613
2021-11-05,6479
2021-11-06,4722
2021-11-07,4226
